0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,emotion
-681.9253,60.253666,0.6060104,13.558146,8.389652,0.4705004,-3.646512,-3.5778344,-12.1716175,-3.223377,0.81373024,-3.4171333,2.0812738,184.60884,73.567894,20.121471,21.625307,18.044935,14.420023,11.280254,11.976053,17.39925,9.204161,9.084343,10.06564,10.244094,0.6007296,0.6363337,0.5601179,0.53228724,0.54426533,0.52096486,0.52464175,0.59105253,0.62825453,0.6223635,0.59941256,0.5698621,0.0179065,0.018906228,0.023915345,0.011245801,0.0015992011,0.0006682695,0.0020548261,0.0010417523,0.0008128757,0.00053806463,0.0002806856,0.00036293367,0.00018348671,0.00022913393,4.134798e-05,5.3472242e-05,2.4230074e-05,6.443691e-06,3.7541051e-06,3.5265275e-06,3317.8796,6076.173,2573.1494,19.672531,0.19166823,0.34497446,0.0024812997,1726.3022,1150.9497,80.74951,-2.188833e-09,1.0121174e-06,-0.03932891,0.017062072,-0.05738039,neutral
-674.3548,61.28231,-1.7587713,17.722033,9.725379,-0.20510547,-1.5635262,-5.9048595,-12.915892,-1.5337245,0.8951448,-2.9642804,1.0891778,185.50127,67.15641,20.290066,19.629894,17.94029,12.727693,11.552805,12.466024,17.524591,8.7789,9.603194,9.868828,9.759816,0.59308004,0.57662904,0.52448666,0.49213418,0.54211146,0.5044031,0.5013381,0.54813296,0.6112,0.61961776,0.6138874,0.5772793,0.02411078,0.023706857,0.024605766,0.011502878,0.0026464895,0.0006235589,0.0026922,0.0011542076,0.00082640536,0.00032947634,0.00017250443,0.00029687223,0.0001494981,0.00024055684,5.522931e-05,4.408448e-05,2.6593318e-05,8.441664e-06,5.4474845e-06,6.6378566e-06,3091.6982,5953.1025,2618.1023,20.231482,0.14044687,0.3622183,0.0026787575,1699.5597,1147.4207,161.49902,1.091795e-08,7.729853e-07,-0.08619423,0.037015423,-0.06964233,neutral
-677.84033,62.683052,-0.07447756,14.5365,5.5965214,1.0390104,-2.4690416,-6.033867,-11.388467,-4.1381593,0.45725718,-3.2136824,1.870034,192.0153,73.292274,22.498392,20.033907,17.333223,15.112082,10.10797,13.426526,16.912231,9.35063,10.071538,8.385816,10.347848,0.61766505,0.63144803,0.5665494,0.57900804,0.56358135,0.5058464,0.49922472,0.5662359,0.6288848,0.62601334,0.53791803,0.5413774,0.023300907,0.026950415,0.030207638,0.031176029,0.0032218287,0.0010820843,0.007122128,0.0016973674,0.0006971532,0.00019197116,0.00022343572,0.0002872561,0.00016724171,0.00031600278,0.00023178579,0.00038513797,0.000111795445,4.0445822e-05,1.1474321e-05,1.808101e-05,3113.9097,5968.507,2581.6775,19.933794,0.15622616,0.3836088,0.0030465072,1758.4775,1155.6426,80.74951,5.0774425e-09,9.772175e-07,-0.02888772,-0.00046162517,-0.006391733,neutral
-676.6398,58.588737,2.63902,13.680298,7.0924835,2.8823774,-1.9149781,-7.5631027,-11.114905,-3.6388638,1.0640451,-1.739359,0.4353625,185.72989,67.19072,20.614794,21.237995,16.951246,12.476873,9.052797,14.544211,14.4760895,8.669587,8.855811,8.272733,7.5559545,0.60792756,0.56450707,0.509342,0.50605094,0.57661116,0.58242553,0.530156,0.57747084,0.5984557,0.5421581,0.55426115,0.5766814,0.021775799,0.020227944,0.02596996,0.028715396,0.0053926627,0.0013284738,0.0043179537,0.0020365107,0.0007468279,0.00014979318,0.00015566385,0.0004707514,0.00013523985,0.00030222416,0.00023964654,0.00026530714,0.00010602763,2.8900717e-05,1.9773419e-05,2.9850362e-05,3041.0198,6031.2017,2640.2437,19.938162,0.14866133,0.38371018,0.0027576464,1717.4417,1134.1892,64.59961,6.50312e-10,9.874946e-07,-0.050780013,0.003866424,-0.0037048308,neutral
-695.9603,72.433815,2.809904,16.982683,8.941421,1.7458718,-4.2813873,-4.778623,-11.778305,-5.9993134,0.87747455,-3.9797912,0.31990543,181.32637,69.43293,23.844284,21.986725,19.884327,13.151383,13.373096,10.7853775,13.692805,9.537966,12.572548,9.358268,8.571119,0.46747556,0.53118473,0.5530714,0.51390064,0.4992022,0.508957,0.4615231,0.5114688,0.53407604,0.5817189,0.61481285,0.5040517,0.014972391,0.013437905,0.010946689,0.0038875965,0.0010285361,0.00022377302,0.0006578433,0.00042026106,0.0004103346,0.0003466968,0.00013109311,0.00017837073,3.410001e-05,5.7417583e-05,2.1829934e-05,3.5896333e-05,4.2383275e-05,1.1274467e-05,5.5207784e-06,4.7578997e-06,2953.677,5591.5933,2519.5127,19.880817,0.16439326,0.30553636,0.001944765,1766.2329,1164.7786,117.453835,-1.482612e-09,8.750297e-07,-0.062484734,0.0007169692,0.024516793,calm
-674.25684,79.5899,2.242152,12.989625,11.33328,0.97166276,-5.5545774,-5.8174872,-10.138364,-5.915695,1.9767334,-2.9729507,-0.36902055,166.88797,73.53931,24.859352,21.28101,19.355045,11.873737,12.836057,10.312003,12.925647,10.176268,10.397279,9.268367,8.930122,0.5112196,0.54085684,0.5081514,0.5790157,0.57651097,0.51574796,0.54552025,0.6010376,0.59739286,0.55827045,0.5365766,0.5401326,0.015966007,0.012014807,0.014290721,0.0050585154,0.0015390308,0.00042916162,0.00074438384,0.0004568781,0.00036438095,0.00034848464,0.00013918492,0.00017161017,3.9603292e-05,7.3334e-05,1.4035728e-05,2.4255542e-05,2.4827212e-05,7.476766e-06,4.150787e-06,4.872128e-06,2838.9033,5226.854,2444.7202,20.291048,0.1762709,0.26446816,0.0021017464,1808.4401,1139.6217,107.666016,5.0227325e-09,9.776882e-07,-0.047365632,-0.034662098,0.029938037,calm
-666.1147,75.04333,0.557326,15.391621,6.5608134,3.0788264,-1.7745135,-5.7087607,-10.197613,-5.398013,2.17774,-2.0129375,1.5236956,193.72284,79.544914,27.464218,21.581213,19.450333,15.195898,10.253036,13.470285,15.367778,10.665141,12.562031,8.714625,8.413029,0.50076264,0.5332869,0.529374,0.5403464,0.5388567,0.52157617,0.49393687,0.547184,0.5524927,0.5508412,0.5586528,0.5407202,0.022649797,0.01624334,0.01552178,0.01775923,0.004428465,0.0013727642,0.005587909,0.0021180094,0.00083423784,0.00023417066,0.00015625074,0.00031972755,8.6854074e-05,0.00013201112,0.00047535833,0.0009899584,0.00018692082,5.0750965e-05,1.1615259e-05,4.945405e-05,2988.1626,5545.9595,2403.5798,20.84232,0.14323588,0.31733775,0.0030437368,1701.9874,1152.7147,161.49902,-7.599122e-09,8.0741484e-07,-0.052079923,-0.015810827,-0.045680583,calm
-669.84344,78.53974,0.5692843,15.132884,9.014772,1.8355123,-1.203177,-7.0512967,-9.460644,-5.4419413,0.84657633,-2.2643588,1.5621095,195.39241,76.377174,24.520514,20.598864,16.330847,12.495869,10.027325,13.755878,13.553113,10.054051,11.456959,8.253782,8.429205,0.48870388,0.5224666,0.50976413,0.5122855,0.4899092,0.4759867,0.5201449,0.55055165,0.58951855,0.5765533,0.5764709,0.49870023,0.028053561,0.017632488,0.024904294,0.022413123,0.0023570529,0.00092599425,0.0040027653,0.0016811087,0.0005830359,0.00018962924,0.00013251364,0.0002780826,7.79741e-05,0.00012723579,0.00015262414,0.00029006813,8.1232756e-05,2.938577e-05,1.1703736e-05,2.1494563e-05,2852.5327,5453.2007,2454.8328,20.823507,0.1270308,0.34636042,0.0030797909,1631.6146,1132.6653,95.703125,1.224412e-08,7.05136e-07,-0.060078353,-0.018638447,-0.05397727,calm
-688.81775,85.14174,4.1540008,16.344488,10.799283,1.7120032,-5.027557,-3.8751788,-8.023195,-5.72064,2.236319,-0.30921337,-0.502887,183.55605,71.598526,22.313538,22.769503,20.734291,12.97511,13.650234,9.922998,10.403908,10.803535,11.090355,8.235668,7.594074,0.48113832,0.5402928,0.5197956,0.54349715,0.5865615,0.5858201,0.6425676,0.6593649,0.5481,0.49637714,0.54939526,0.49024123,0.011722229,0.0080748135,0.0059469133,0.0022911252,0.0007932137,0.00029934294,0.0004883706,0.00021896507,0.00017875452,0.00014814419,8.6027845e-05,8.607582e-05,2.280093e-05,3.0126039e-05,1.30721455e-05,2.5976622e-05,1.3942134e-05,4.6199125e-06,2.5742524e-06,3.1349061e-06,2814.6472,5151.736,2425.4485,20.659342,0.16205922,0.23328951,0.0018462396,1725.3024,1137.7825,117.453835,1.2970914e-08,5.423957e-07,-0.021308636,-0.021641828,0.0016833781,calm
-652.45685,78.60043,1.6656082,14.913383,6.532932,0.25056154,-5.7800813,-7.2775097,-9.611634,-7.4346156,2.3996186,-1.9723271,-0.9709129,169.03777,76.42418,20.49636,20.365242,20.119331,15.434803,15.281104,10.872128,12.145708,10.309104,12.838678,9.747826,7.9773307,0.50390136,0.5265762,0.49211133,0.5679752,0.5445722,0.48365617,0.48926485,0.55201465,0.5832161,0.53962547,0.4995446,0.490618,0.014583245,0.012249738,0.008035445,0.002619513,0.00071859005,0.0003706969,0.0004795635,0.00036122784,0.00027064575,0.00011558641,6.0875886e-05,7.709572e-05,2.234346e-05,2.8156866e-05,2.2287784e-05,9.79781e-05,7.806087e-05,1.5618243e-05,6.7960373e-06,8.151515e-06,2889.8074,5140.3066,2388.3916,20.552235,0.16312167,0.2464656,0.0021149889,1838.543,1141.117,73.828125,-4.2822458e-07,8.433767e-07,-0.031726576,-0.011052456,0.017035479,calm
